Week,Cases,Dengue,Dengue Fever,Dengue Symptoms,Dengue Treatment,CBC Test,CBC Test Price,Platelet count,Fever,Headache,Platelet,CBC,Mosquito
2/19/2023,28,5.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,36.0,80.0,7.142857142857142,50.0,70.0
2/26/2023,35,6.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,34.0,80.0,7.142857142857142,50.0,50.0
3/5/2023,25,6.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,40.0,80.0,7.142857142857142,50.0,55.00000000000001
3/12/2023,21,6.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,36.0,80.0,7.142857142857142,50.0,45.0
3/19/2023,25,5.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,36.0,80.0,14.285714285714285,50.0,40.0
3/26/2023,22,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,40.0,60.0,14.285714285714285,40.0,45.0
4/2/2023,28,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,36.0,60.0,7.142857142857142,40.0,35.0
4/9/2023,26,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,60.0,7.142857142857142,40.0,25.0
4/16/2023,20,2.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,28.000000000000004,40.0,7.142857142857142,20.0,25.0
4/23/2023,56,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,60.0,7.142857142857142,30.0,25.0
4/30/2023,103,5.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,32.0,80.0,7.142857142857142,40.0,30.0
5/7/2023,145,5.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,30.0,80.0,7.142857142857142,50.0,20.0
5/14/2023,189,6.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,34.0,80.0,14.285714285714285,40.0,20.0
5/21/2023,294,7.000000000000001,10.526315789473683,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,40.0,80.0,14.285714285714285,50.0,25.0
5/28/2023,575,9.0,10.526315789473683,9.090909090909092,20.0,42.857142857142854,50.0,20.0,38.0,80.0,14.285714285714285,50.0,30.0
6/4/2023,742,11.0,15.789473684210526,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,40.0,80.0,14.285714285714285,40.0,30.0
6/11/2023,1582,13.0,15.789473684210526,12.121212121212121,20.0,42.857142857142854,50.0,20.0,48.0,80.0,21.428571428571427,50.0,35.0
6/18/2023,2236,16.0,15.789473684210526,18.181818181818183,20.0,42.857142857142854,50.0,20.0,42.0,60.0,21.428571428571427,50.0,30.0
6/25/2023,1409,17.0,15.789473684210526,21.21212121212121,20.0,28.57142857142857,50.0,40.0,46.0,80.0,21.428571428571427,40.0,25.0
7/2/2023,3870,39.0,26.31578947368421,42.42424242424242,20.0,57.14285714285714,50.0,40.0,56.00000000000001,80.0,28.57142857142857,60.0,55.00000000000001
7/9/2023,7336,79.0,52.63157894736842,72.72727272727273,40.0,71.42857142857143,50.0,60.0,68.0,80.0,57.14285714285714,60.0,85.0
7/16/2023,11231,83.0,63.1578947368421,100.0,60.0,85.71428571428571,100.0,80.0,78.0,80.0,71.42857142857143,80.0,75.0
7/23/2023,15722,100.0,78.94736842105263,93.93939393939394,60.0,85.71428571428571,50.0,100.0,90.0,80.0,100.0,90.0,80.0
7/30/2023,17561,89.0,78.94736842105263,78.78787878787878,40.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,70.0
8/6/2023,18538,83.0,84.21052631578947,75.75757575757575,40.0,85.71428571428571,100.0,100.0,96.0,100.0,92.85714285714286,90.0,75.0
8/13/2023,15354,72.0,73.68421052631578,69.6969696969697,40.0,71.42857142857143,100.0,80.0,92.0,100.0,78.57142857142857,90.0,65.0
8/20/2023,14324,81.0,100.0,63.63636363636363,40.0,85.71428571428571,50.0,80.0,100.0,80.0,85.71428571428571,90.0,70.0
8/27/2023,15510,74.0,63.1578947368421,54.54545454545454,60.0,71.42857142857143,100.0,80.0,80.0,80.0,78.57142857142857,80.0,75.0
9/3/2023,17641,73.0,57.89473684210527,57.57575757575758,60.0,57.14285714285714,50.0,80.0,66.0,60.0,71.42857142857143,70.0,85.0
